text,label
"a. online bankkártyás fizetési lehetőség (Visa, Visa Electron, MasterCard, Maestro és Diners Club),",5-Könnyen érthető
"c. Google Pay vagy Apple Pay segítségével történő fizetés, ",5-Könnyen érthető
"d. utánvét (készpénzben vagy egyes esetekben bankkártyával), ",5-Könnyen érthető
g. az Alza bemutatótermeiben (boltjaiban) készpénzzel vagy bankkártyával.,5-Könnyen érthető
34. Az Alza az online áruhitelt a Magyar Cofidis Expressz Zrt. hitelközvetítőjeként kínálja a Fogyasztóknak. A közvetített pénzügyi szolgáltatás (a továbbiakban: „áruhitel”) részleteiről az alábbi aloldalon nyújtunk tájékoztatást: https://www.alza.hu/reszletfizetesi-lehetoseg .,5-Könnyen érthető
"35. Az Alza felhívja a Fogyasztó figyelmét arra, hogy az Alza Adatvédelmi Szabályzatával összhangban az online bankkártyás fizetés esetén a Fogyasztó által megadott kártyaadatokat a jövőbeli kifizetések érdekében a releváns bank megjegyzi (ezt az opciót a Fogyasztó a saját Alza fiókjában a ""Személyes Adatok"" menüpontban törölheti, illetve az Adatvédelmi Szabályzat egyéb rendelkezései szerint kérheti személyes adatai törlését).",4-Érthető
"36. A „Cím megadása” elnevezésű felületre a szállítási és fizetési módok kiválasztását követően a „Folytatás” gombra kattintva jut a Fogyasztó, ahol személyes adatait, így e-mail címét, és számlázáshoz szükséges adatait adja meg, illetve amennyiben a Fogyasztó regisztrált felhasználó, itt is be tud lépni az Alza Fiókjába, mely utóbbi esetben a számlázáshoz szükséges adatok automatikusan megjelennek a vásárlási felületen. Ezen felület jobb szélén a Fogyasztó a „Kosárba” helyezett termék vagy szolgáltatás bruttó szállítási költséggel növelt áráról kap tájékoztatást.",4-Érthető
"37. A Fogyasztó a „Megrendelés Befejezése” gombra kattintással, illetve a jelölőnégyzet bepipálásával megerősíti, hogy i) megismerte és elfogadta jelen Fogyasztói ÁSZF rendelkezéseit, ii) tudomásul veszi az Alza által adott adatvédelmi tájékoztatást, és iii) azt, hogy a megrendelés leadásával fizetési kötelezettsége keletkezik, valamint iv) hozzájárul, hogy a megvásárolt digitális tartalmakat az Alza azonnal hozzáférhetővé tegye számára, amit követően a digitális tartalom megvásárlásától már nem lesz jogosult elállni. A Fogyasztó tudomásul veszi, hogy a megrendelésének leadását követően – az Alza teljesítése esetén – a fizetési kötelezettség alapján az Alza jogosulttá válik a termék vételárát a Fogyasztótól követelni.",4-Érthető
"38. A megrendelés leadását követően a Fogyasztó a megrendelését törölheti (visszavonhatja), amíg az Alza a megrendelést nem teljesíti (jelen Fogyasztói ÁSZF V. Webáruház nem rendeltetésszerű használata fejezetében írt rendelkezések figyelembevétele mellett), illetve a megrendelés módosítására is van lehetőség, az alábbiak szerint:",5-Könnyen érthető
"• számlázási és szállítási információk (pl. cím): A rendelés leadását követően, amíg az Alza még nem állított ki a megrendelésről számlát, a Fogyasztó módosíthatja a számlázási es szállítási információkat (pl. címet) az Alza Fiókban vagy a megrendelési felületen. Ezt követően, amennyiben az adatok az Alza Fiókban már nem módosíthatóak a módosítás kéréséhez a Fogyasztónak szükséges felvennie a kapcsolatot az Ügyfélszolgálattal. ",4-Érthető
"• fizetési mód: a rendelés leadását követően úgy módosítható, ha a Fogyasztó felveszi az Ügyfélszolgálattal a kapcsolatot. Alza Box esetén lehetőség van (az Ügyfélszolgálattal való egyeztetés nélkül is) online fizetés helyett az átvételkori fizetést választani. ",5-Könnyen érthető
"• szállítási mód: a rendelés leadását követően úgy módosítható, ha a Fogyasztó felveszi az Ügyfélszolgálattal a kapcsolatot.",5-Könnyen érthető
"39. Az Alza Webáruházban regisztráció nélkül, vendégként is lehetséges a vásárlás, azonban az Alza azt javasolja, hogy a Webáruházban történő megrendelés leadásakor a Fogyasztó jelentkezzen be a regisztrált felhasználói fiókjába. A nyilvános hozzáféréssel történő bejelentkezéskor az Alza azt javasolja a Fogyasztóknak, hogy a megrendelés leadása után jelentkezzenek ki az Alza fiókjukból. Emellett az Alza azt javasolja a Fogyasztóknak, hogy ha már nem használják a Webáruházát, akkor is jelentkezzenek ki Alza fiókjukból.",4-Érthető
"40. A „Megrendelés Befejezése” gombra kattintással, azaz a megrendelés véglegesítésével és leadásával a Fogyasztó a „Kosárban” elhelyezett termékek vagy szolgáltatások megvásárlását célzó kötelező érvényű ajánlatot tesz az Alza részére. A Fogyasztó ajánlatának Alzához történő megérkezése ajánlati kötöttséget eredményez a Fogyasztóra nézve. Az ajánlat Fogyasztó általi elküldése nem jelenti ugyanakkor az ajánlat Alza általi automatikus elfogadását, azaz a Felek közötti szerződés létrejöttét. Az Alza az ajánlat elfogadásáról, azaz a szerződés létrejöttéről, később külön e-mailben értesíti a Fogyasztót.",3-Többé/kevésbé megértem
"41. Az Alza a megrendelésének (ajánlatának) megérkezését a Fogyasztó felé e-mail útján egy automatikusan generált rendszerüzenet formájában haladéktalanul visszaigazolja („Köszönjük a megrendelését” megszólítású e-mail). Amennyiben ezen visszaigazolás a Fogyasztó megrendelésének elküldésétől számított, legkésőbb 48 órán belül nem érkezik meg hozzá, a Fogyasztó mentesül az ajánlati kötöttség alól. A Fogyasztó köteles ezen e-mailben foglalt adatok tartalmát leellenőrizni. Amennyiben a Fogyasztó a megrendelés adataiban bármilyen hibát észlel, köteles azt haladéktalanul jelezni az Ügyfélszolgálat felé. Az e-mailben szereplő gombok segítségével Fogyasztó a megrendelését módosíthatja vagy szükség esetén törölheti is, azaz az ajánlatát visszavonhatja.",4-Érthető
"42. Az e-mail útján tett vagy közölt nyilatkozatok a másik fél számára akkor tekinthetők megérkezettnek, amikor azok a címzett részére hozzáférhetővé válnak. Az Alza kizárja a felelősséget az olyan esetekre vonatkozóan, amikor a Fogyasztó levelező rendszerének technikai vagy beállítási hibája, telítettsége miatt az Alza által küldött e-mailek a Fogyasztó számára nem válnak hozzáférhetővé, vagy a Fogyasztó a megrendelés során hibás e-mail címet adott meg az Alza részére, vagy a Fogyasztó az Alza egyébként kézbesített e-mail üzenetét nem nyitja meg, nem olvassa el.",4-Érthető
"43. A Webáruházon keresztül történő vásárlás esetén az Alza és a Fogyasztó között a távollevők között kötött szerződés a Fogyasztó által küldött ajánlat (mely a rendelés leadásával valósul meg) Alza általi elfogadásával jön létre. A szerződés létrejöttéről (tehát az ajánlat Alza általi elfogadásáról) az Alza a Fogyasztónak külön e-mailt küld, melyben az Alza visszaigazolja a megrendelés teljesíthetőségét, egyúttal tájékoztatást nyújt a szállítási információkról. Ezen, a szerződés létrejöttét visszaigazoló e-mail tartalmazza a szerződés lényeges tartalmi elemeit is. Az Alza ebben az e-mailben küldi meg a Fogyasztók részére az ÁSZF-et és a számlát is.",3-Többé/kevésbé megértem
"44. Amennyiben az Alza a Fogyasztó ajánlatát nem tudja elfogadni, azaz a megrendelést nem tudja teljesíteni, a Fogyasztót a megrendelés elutasításáról tájékoztatja, és intézkedik a Fogyasztó által előre kifizetett vételár és szállítási költség visszatérítéséről. Az Alza kizárja felelősségét azért, ha ezen felül a Fogyasztónak bármilyen kára keletkezne a Fogyasztó ajánlatának (azaz a megrendelésnek) az elutasítása következtében.",5-Könnyen érthető
"45. A szerződés létrejöttére vonatkozó e-mailből a Fogyasztó az Alza fiókjába történő belépésen keresztül letöltheti a vásárlásra vonatkozó számláját is, mely a kötelező jótállással érintett termékek tekintetében egyúttal jótállási jegynek is minősül. A vendégként vásárlók részére a számlát az Alza küldi el a szerződés létrejöttét visszaigazoló, második e-mailjében .",4-Érthető
"46. Felek között létrejött szerződés nem minősül írásbeli szerződésnek, azt az Alza nem iktatja, így az utóbb nem is hozzáférhető. A megrendelés részleteit, illetve a megrendeléshez tartozó számlákat az Alza ugyanakkor saját elektronikus archívumában elmenti. A Fogyasztók korábbi megrendelésük részleteit az Alza fiókjukban, illetve az Alza által küldött visszaigazoló e-mailekben tekinthetik meg.",3-Többé/kevésbé megértem
"47. A megrendelés részletei nem hozzáférhetőek olyan harmadik felek számára, akik az ügyletben nem voltak érintettek, ez alól kivételt képez a hatályos jogszabályok alapján a bíróságok, hatóságok vagy egyéb harmadik felek részére történő kötelező adatszolgáltatás.",5-Könnyen érthető
48. A jelen Fogyasztói ÁSZF hatálya alatt létrejött minden szerződés nyelve a magyar.,5-Könnyen érthető
"49. A Fogyasztóknak a „Megrendelés befejezése” gombra kattintást megelőzően bármikor lehetősége van az adatbeviteli hibák javítására. A nem javított adatbeviteli hibákból adódó tévedésekért, hibákért az Alza felelősséget nem vállal.",5-Könnyen érthető
50. Az Alza nem vette magát alá a tevékenységére vonatkozó magatartási kódexnek.,2-Nehezen érthető
"51. Az Alza új termékeken kívül forgalmaz ún. felbontott, újszerű, illetve használt termékeket is, melyeket az új termékekhez képest alacsonyabb vételáron értékesít. A felbontott, újszerű, illetve használt termékekre az Alza az új termékekkel azonos 30 napos elállási jogot biztosít. Ezen termékekre vonatkozó szavatossági igények érvényesítésével kapcsolatos rendelkezéseket a 113. pont tartalmazza. A felbontott, újszerű, illetve használt termékekről bővebb információ itt található.",3-Többé/kevésbé megértem
"52. A Felbontott termékek olyan termékek, melyek eredeti csomagolását korábban már felbontották vagy a terméket már kipróbálták (például elállás miatt visszaküldték az Alzának). A felbontott termékeket az Alza eredeti csomagolásba visszacsomagolja, és az összes tartozékával együtt értékesíti. A felbontott termék jótállási- és szavatossági ideje megegyezik az új termékekre vonatkozó határidőkkel.",4-Érthető
"53. Az újszerű termékek olyan rendeltetésszerű használatra alkalmas termékek, melyeken korábbi rendeltetésszerű használat nyomai láthatóak (kisebb kopás vagy elhasználódás). Az Alza törekszik arra, hogy az újszerű termékekhez valamennyi eredeti csomagolásban található alkatrészt biztosítsa, illetve azokat az eredeti csomagolásban értékesítse. Amennyiben erre nincs mód, az Alza olyan kartoncsomagolást biztosít az újszerű termékhez, mely megfelelően megóvja a termék minőségét. Az újszerű termékekre az Alza 21 hónap szavatossági (vagy adott esetben jótállási) időt biztosít.",4-Érthető
"54. Használt termékek olyan rendeltetésszerű használatra alkalmas termékek, melyeket már korábban szervizeltek, vagy rajtuk korábbi, akár hosszabb használat nyomai is látszódnak. A használt termékekre a jogszabályi rendelkezések alapján 12 hónapos szavatossági (vagy adott esetben jótállási) időt biztosít az Alza. Az Alza a használt terméket mindig rendeltetésszerű használatra alkalmas állapotban értékesíti, de hozzá csak az alapvető működéshez szükséges tartozékokat tudja biztosítani.",4-Érthető
"55. Az Alzától a Webáruházon kívül e-mailen, telefonon és bemutatótermeiben (boltjaiban) is lehetséges a vásárlás. Amennyiben jelen Fogyasztói ÁSZF eltérően nem rendelkezik az előbb említett csatornákon bonyolított vásárlásokra is jelen Fogyasztói ÁSZF rendelkezései irányadóak, ideértve a Webáruházzal kapcsolatos rendelkezéseket is.",4-Érthető
56. A Fogyasztók a Webáruházon kívül megrendelésüket az alábbi módon adhatják le: ,5-Könnyen érthető
"a. E-mail útján, a segito@alza.hu email címen keresztül; ",5-Könnyen érthető
b. Telefonon keresztül az Alza Ügyfélszolgálat telefonszámán (+36 1 701 11 11) a hét minden napján 08:00 órától 20:00 óráig (UTC+01:00) ,5-Könnyen érthető
"c. Az Alza bemutatótermeiben személyesen (Budapest XIII. kerület Róbert Károly krt. 54 -58; 1085 Budapest József krt. 14, 1117 Budapest Fehérvári út 23., vagy 2310 Szigetszentmiklós Bevásárló utca 1,). Boltjainkról itt adunk bővebb tájékoztatást .",5-Könnyen érthető
"57. A Fogyasztó az Alza ügyfélszolgálati munkatársának segítségével telefonon vagy e-mailen keresztül is köthet szerződést. Ilyen esetekben a szerződés az ügyfélszolgálat által a Fogyasztó részére küldött visszaigazoló e-maillel jön létre, azonos módon, mint a Webáruházon keresztül történő szerződéskötéskor.",5-Könnyen érthető
"58. Az Alza bemutatótermeiben kötött szerződés ráutaló magatartással jön létre, a vételárnak a Fogyasztó által az Alza részére történő megfizetésével.",4-Érthető
"59. A Fogyasztó a Webáruházat csak a jelen Fogyasztói ÁSZF-el összhangban, rendeltetésszerűen és jóhiszeműen használhatja.",5-Könnyen érthető
"60. Az Alza célja, hogy az általa forgalmazott termékeket és szolgáltatásokat a Fogyasztóknak, mint végfelhasználóknak értékesítse, ezért a Webáruházban, illetve bármely más értékesítési csatornán keresztül az Alzától vásárolt termékek Fogyasztó általi kereskedelmi célú továbbértékesítése nem megengedett. Az Alza fenntartja magának a jogot, hogy azon Fogyasztó szerződéses ajánlatát visszautasítsa, amely esetén megalapozott gyanú merül fel arra, hogy az ajánlattétel célja a kereskedelmi célú továbbértékesítés. Az ajánlattétel elutasításáról az Alza e-mail útján értesíti a Fogyasztót. Az Alza ezenkívül fenntartja magának a jogot, hogy azon Fogyasztó részére is megtagadja a további termékértékesítést és jelen ÁSZF 64. és 65. pontjában felsorolt szankciókat alkalmazza, akiről bebizonyosodik, hogy az Alzától vásárolt termékek kereskedelmi célú tovább-értékesítését végzi.",3-Többé/kevésbé megértem
